"","X","also","alway","amaz","atmospher","awesom","back","target"
"1",1,0,0,0,0,0,0,1
"2",2,0,0,0,0,0,0,0
"3",3,0,0,0,0,0,0,0
"4",4,0,0,0,0,0,0,1
"5",5,0,0,0,0,0,0,1
"6",6,0,0,0,0,0,0,0
"7",7,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0
"9",9,0,0,0,0,0,0,1
"10",10,0,0,0,0,0,0,1
"11",11,0,0,0,0,0,0,1
"12",12,0,0,0,0,0,1,0
"13",13,0,0,0,0,0,0,0
"14",14,0,0,0,0,0,0,1
"15",15,0,0,0,0,0,0,0
"16",16,0,0,0,0,0,0,0
"17",17,0,0,0,0,0,0,1
"18",18,0,0,0,0,0,0,0
"19",19,0,0,0,0,0,0,0
"20",20,0,0,0,0,0,0,0
"21",21,0,0,0,0,0,0,0
"22",22,0,0,1,0,0,0,1
"23",23,1,0,0,0,0,0,1
"24",24,0,0,0,0,0,0,1
"25",25,0,0,0,0,0,0,1
"26",26,0,0,0,0,0,0,1
"27",27,0,0,0,0,0,0,0
"28",28,0,0,0,0,0,0,1
"29",29,0,0,0,0,0,0,0
"30",30,0,0,0,0,0,0,0
"31",31,1,0,0,0,0,0,1
"32",32,0,0,0,0,0,0,0
"33",33,0,0,0,0,0,0,1
"34",34,0,0,0,0,0,0,0
"35",35,0,0,0,0,0,0,1
"36",36,0,0,0,0,0,0,1
"37",37,0,0,0,0,0,0,1
"38",38,0,0,0,0,0,0,0
"39",39,0,0,0,0,0,0,1
"40",40,0,0,0,0,0,0,0
"41",41,0,0,0,0,0,0,1
"42",42,0,0,0,0,0,0,0
"43",43,0,0,0,0,0,0,0
"44",44,0,0,0,0,0,0,1
"45",45,0,0,0,0,0,0,0
"46",46,0,0,0,0,0,0,1
"47",47,0,0,0,0,0,0,0
"48",48,0,0,0,0,0,0,1
"49",49,0,0,0,0,0,0,1
"50",50,0,0,0,0,0,0,1
"51",51,0,0,0,0,0,0,1
"52",52,0,0,0,0,0,0,1
"53",53,0,0,0,0,0,0,1
"54",54,0,0,0,0,0,0,0
"55",55,0,0,0,0,0,0,1
"56",56,0,0,0,0,0,0,1
"57",57,0,0,0,0,0,0,0
"58",58,0,0,0,0,0,0,0
"59",59,0,0,0,0,0,0,1
"60",60,0,0,0,0,0,0,0
"61",61,0,0,0,0,0,0,0
"62",62,0,0,0,0,0,0,1
"63",63,0,0,0,0,0,0,1
"64",64,0,0,0,0,0,1,1
"65",65,0,0,0,0,0,0,1
"66",66,0,0,0,0,0,0,1
"67",67,0,1,0,0,0,0,1
"68",68,0,0,1,0,0,1,1
"69",69,0,0,0,0,0,0,0
"70",70,0,0,0,0,0,0,1
"71",71,0,0,0,0,0,0,1
"72",72,0,0,0,0,0,0,1
"73",73,0,0,0,0,0,0,0
"74",74,0,0,0,0,0,0,0
"75",75,0,0,0,0,0,0,0
"76",76,0,0,0,0,0,0,0
"77",77,0,0,0,0,0,0,0
"78",78,0,0,0,0,0,0,1
"79",79,0,0,0,0,0,0,1
"80",80,0,0,0,0,0,0,0
"81",81,0,0,0,0,0,0,0
"82",82,0,0,0,0,0,0,0
"83",83,0,0,0,0,0,0,0
"84",84,0,0,0,0,0,0,1
"85",85,0,0,0,0,0,0,0
"86",86,0,0,0,0,0,0,1
"87",87,0,0,0,0,0,0,0
"88",88,0,0,1,0,0,0,1
"89",89,0,0,0,0,0,0,1
"90",90,0,0,0,0,0,0,1
"91",91,0,0,0,0,0,0,0
"92",92,0,0,0,0,0,0,1
"93",93,0,0,0,0,0,0,0
"94",94,0,0,0,0,0,0,1
"95",95,0,0,0,0,0,0,0
"96",96,0,0,0,0,0,0,0
"97",97,0,0,0,0,0,1,1
"98",98,0,0,0,0,0,0,1
"99",99,0,0,0,0,0,0,0
"100",100,0,0,0,0,0,0,1
